Id,logId,start_time,end_time,recorded_minutes,code_1_minutes,code_2_minutes,code_3_minutes
4319703577,11447734147,2016-04-19 22:22:00,2016-04-20 07:24:00,543,523,10,10
4319703577,11501142212,2016-04-21 16:33:00,2016-04-21 17:37:00,65,59,4,2
4319703577,11501142214,2016-04-21 22:44:30,2016-04-22 07:53:30,550,533,16,1
4319703577,11501142216,2016-04-22 22:59:00,2016-04-23 11:00:00,722,692,26,4
4319703577,11501142219,2016-04-24 00:09:00,2016-04-24 08:29:00,501,467,29,5
4319703577,11501142221,2016-04-24 23:10:00,2016-04-25 07:35:00,506,488,17,1
4319703577,11501142223,2016-04-25 23:18:00,2016-04-26 07:53:00,516,505,10,1
4319703577,11501142225,2016-04-27 02:29:00,2016-04-27 07:35:00,307,286,21,0
4319703577,11512958234,2016-04-27 22:20:30,2016-04-28 07:01:30,522,497,17,8
4319703577,11512958235,2016-04-28 22:34:30,2016-04-29 07:39:30,546,523,19,4
4319703577,11523726410,2016-04-29 23:18:00,2016-04-30 07:53:00,516,490,22,4
4319703577,11550579238,2016-04-30 23:29:00,2016-05-01 07:48:00,500,484,13,3
4319703577,11550579239,2016-05-01 22:52:30,2016-05-02 07:17:30,506,478,25,3
4319703577,11550579240,2016-05-02 22:58:30,2016-05-03 07:29:30,512,474,37,1
4319703577,11575271293,2016-05-05 22:26:30,2016-05-06 06:36:30,491,450,35,6
4319703577,11575271294,2016-05-06 23:40:00,2016-05-07 08:29:00,530,507,20,3
4319703577,11611314890,2016-05-07 23:26:30,2016-05-08 10:03:30,638,602,34,2
4319703577,11611314891,2016-05-08 22:41:30,2016-05-09 08:05:30,565,535,28,2
4319703577,11611314892,2016-05-09 22:47:30,2016-05-10 07:23:30,517,487,27,3
4319703577,11611314893,2016-05-10 22:23:00,2016-05-11 07:40:00,558,529,29,0
4319703577,11612541628,2016-05-11 22:47:30,2016-05-12 04:07:30,321,302,18,1
4388161847,11438827487,2016-04-14 20:09:00,2016-04-15 04:54:00,526,499,17,10
4388161847,11438827488,2016-04-15 23:51:30,2016-04-16 06:18:30,388,373,13,2
4388161847,11438827489,2016-04-16 15:36:00,2016-04-16 16:35:00,60,53,6,1
4388161847,11438827490,2016-04-16 21:56:30,2016-04-17 06:20:30,505,486,18,1
4388161847,11438827491,2016-04-17 13:24:30,2016-04-17 15:39:30,136,133,2,1
4388161847,11438827492,2016-04-18 20:59:30,2016-04-18 22:42:30,104,99,1,4
4388161847,11438827493,2016-04-18 23:15:00,2016-04-19 04:52:00,338,329,9,0
4388161847,11441459537,2016-04-19 21:22:00,2016-04-20 04:52:00,451,421,26,4
4388161847,11450335126,2016-04-20 21:18:00,2016-04-21 04:55:00,458,442,16,0
4388161847,11462400108,2016-04-22 15:54:30,2016-04-22 17:18:30,85,82,2,1
4388161847,11465910790,2016-04-22 22:32:00,2016-04-23 06:52:00,501,478,20,3
4388161847,11476527082,2016-04-24 00:18:00,2016-04-24 06:12:00,355,328,27,0
4388161847,11476527083,2016-04-24 08:36:30,2016-04-24 10:37:30,122,112,8,2
4388161847,11476527084,2016-04-24 16:02:30,2016-04-24 17:59:30,118,112,1,5
4388161847,11488358688,2016-04-25 23:17:00,2016-04-26 05:02:00,346,319,27,0
4388161847,11494606419,2016-04-26 20:37:30,2016-04-27 04:56:30,500,461,37,2
4388161847,11502756809,2016-04-27 21:22:00,2016-04-28 04:59:00,458,428,26,4
4388161847,11518651229,2016-04-30 00:16:30,2016-04-30 05:54:30,339,319,20,0
4388161847,11524120151,2016-04-30 14:15:30,2016-04-30 15:45:30,91,91,0,0
4388161847,11528636846,2016-04-30 22:04:00,2016-05-01 08:00:00,597,547,42,8
4388161847,11565366899,2016-05-01 22:08:00,2016-05-02 00:16:00,129,122,2,5
4388161847,11565366900,2016-05-02 01:38:00,2016-05-02 05:44:00,247,246,1,0
4388161847,11565366901,2016-05-03 22:06:00,2016-05-04 04:59:00,414,390,21,3
4388161847,11565366902,2016-05-04 20:39:00,2016-05-05 04:53:00,495,471,18,6
4388161847,11572868794,2016-05-07 00:03:00,2016-05-07 08:18:00,496,472,24,0
4388161847,11580213577,2016-05-08 01:01:00,2016-05-08 08:06:00,426,423,3,0
4388161847,11582178123,2016-05-08 10:46:00,2016-05-08 12:40:00,115,106,7,2
4388161847,11594333381,2016-05-09 20:13:00,2016-05-09 21:17:00,65,62,1,2
4388161847,11595075442,2016-05-09 22:48:00,2016-05-10 05:02:00,375,360,15,0
4388161847,11603580199,2016-05-10 20:45:30,2016-05-11 04:58:30,494,474,17,3
4445114986,11374744422,2016-04-12 01:44:00,2016-04-12 07:15:00,332,308,18,6
4445114986,11375953477,2016-04-12 09:10:00,2016-04-12 11:14:00,125,121,4,0
4445114986,11383698423,2016-04-13 01:47:00,2016-04-13 07:11:00,325,293,25,7
4445114986,11385332302,2016-04-13 09:32:30,2016-04-13 10:52:30,81,77,4,0
4445114986,11394064504,2016-04-14 03:05:00,2016-04-14 11:16:00,492,441,48,3
4445114986,11398452309,2016-04-15 00:35:00,2016-04-15 01:44:00,70,61,6,3
4445114986,11402134657,2016-04-15 02:06:00,2016-04-15 07:14:00,309,276,25,8
4445114986,11410367670,2016-04-16 01:36:30,2016-04-16 09:54:30,499,462,29,8
4445114986,11418467379,2016-04-17 02:24:00,2016-04-17 04:10:00,107,98,6,3
4445114986,11433617055,2016-04-19 01:43:00,2016-04-19 06:25:00,283,264,14,5
4445114986,11436130885,2016-04-19 08:53:00,2016-04-19 11:13:00,141,124,15,2
4445114986,11477307087,2016-04-20 02:57:30,2016-04-20 10:38:30,462,439,20,3
4445114986,11477307088,2016-04-21 03:11:30,2016-04-21 10:59:30,469,436,28,5
4445114986,11477307089,2016-04-22 03:17:30,2016-04-22 10:13:30,417,388,21,8
4445114986,11479862706,2016-04-25 01:52:00,2016-04-25 07:36:00,345,329,9,7
4445114986,11490421616,2016-04-26 02:17:30,2016-04-26 07:13:30,297,268,23,6
4445114986,11491484570,2016-04-26 08:39:00,2016-04-26 10:12:00,94,85,9,0
4445114986,11498820000,2016-04-27 03:48:00,2016-04-27 10:01:00,374,332,37,5
4445114986,11506979487,2016-04-28 04:05:00,2016-04-28 11:26:00,442,419,17,6
4445114986,11513834376,2016-04-29 02:55:30,2016-04-29 04:42:30,108,106,2,0
4445114986,11521467406,2016-04-30 02:11:00,2016-04-30 08:03:00,353,322,25,6
4445114986,11527350194,2016-05-01 02:18:30,2016-05-01 07:24:30,307,300,5,2
4445114986,11529296216,2016-05-01 08:28:00,2016-05-01 10:59:00,152,139,10,3
4445114986,11533384148,2016-05-02 02:12:00,2016-05-02 11:13:00,542,503,34,5
4445114986,11544307514,2016-05-03 01:39:00,2016-05-03 07:03:00,325,303,22,0
4445114986,11545629569,2016-05-03 09:07:00,2016-05-03 11:11:00,125,114,9,2
4445114986,11550884317,2016-05-04 03:19:00,2016-05-04 05:54:00,156,141,8,7
4445114986,11552807174,2016-05-04 08:02:00,2016-05-04 11:28:00,207,196,10,1
4445114986,11558506197,2016-05-05 01:24:00,2016-05-05 07:08:00,345,312,25,8
4445114986,11560045925,2016-05-05 08:37:30,2016-05-05 11:24:30,168,150,17,1
4445114986,11567082662,2016-05-06 02:18:00,2016-05-06 07:08:00,291,274,13,4
4445114986,11567979417,2016-05-06 09:10:30,2016-05-06 11:00:30,111,100,10,1
4445114986,11572172742,2016-05-07 02:52:30,2016-05-07 07:16:30,265,240,15,10
4445114986,11575932652,2016-05-07 14:17:00,2016-05-07 17:07:00,171,161,9,1
4445114986,11580968626,2016-05-08 02:34:00,2016-05-08 09:04:00,391,361,26,4
4445114986,11589147442,2016-05-09 00:51:00,2016-05-09 09:43:00,533,457,60,16
4445114986,11598021567,2016-05-10 02:57:00,2016-05-10 10:02:00,426,405,14,7
4445114986,11604805541,2016-05-11 01:23:00,2016-05-11 10:12:00,530,501,25,4
4445114986,11616251768,2016-05-12 01:36:00,2016-05-12 09:56:00,501,483,13,5
4558609924,11450944156,2016-04-21 00:06:30,2016-04-21 02:22:30,137,126,6,5
4558609924,11490035288,2016-04-25 22:41:00,2016-04-26 00:41:00,121,103,15,3
4558609924,11513595087,2016-04-28 22:44:00,2016-04-29 01:42:00,179,171,7,1
4558609924,11539521793,2016-05-01 20:32:00,2016-05-01 22:40:00,129,115,10,4
4558609924,11580819425,2016-05-07 23:08:30,2016-05-08 01:21:30,134,123,11,0
4702921684,11379793908,2016-04-11 23:09:30,2016-04-12 06:27:30,439,425,14,0
4702921684,11384442649,2016-04-12 22:50:00,2016-04-13 02:21:00,212,200,12,0
4702921684,11384442650,2016-04-13 02:32:00,2016-04-13 06:09:00,218,200,15,3
4702921684,11392839696,2016-04-13 23:15:30,2016-04-14 06:09:30,415,384,31,0
4702921684,11405470314,2016-04-14 23:34:30,2016-04-15 03:50:30,257,253,4,0
4702921684,11408721562,2016-04-16 00:07:30,2016-04-16 04:38:30,272,260,12,0
4702921684,11410487775,2016-04-16 04:59:00,2016-04-16 07:12:00,134,122,10,2
4702921684,11418702820,2016-04-16 22:04:30,2016-04-17 08:15:30,612,591,21,0
4702921684,11426605512,2016-04-17 21:53:00,2016-04-18 03:04:00,312,293,16,3
4702921684,11435468783,2016-04-18 21:58:00,2016-04-19 06:04:00,487,457,30,0
4702921684,11443572207,2016-04-19 21:59:30,2016-04-20 05:46:30,468,454,14,0
4702921684,11451457511,2016-04-20 22:36:00,2016-04-21 05:49:00,434,425,9,0
4702921684,11466575652,2016-04-22 23:33:30,2016-04-23 07:27:30,475,465,10,0
4702921684,11473673513,2016-04-23 23:21:00,2016-04-24 07:46:00,506,480,26,0
4702921684,11486893536,2016-04-24 23:20:30,2016-04-25 05:39:30,380,370,10,0
4702921684,11494006047,2016-04-25 22:41:00,2016-04-26 05:49:00,429,421,7,1
4702921684,11494907989,2016-04-26 22:20:00,2016-04-27 05:48:00,449,434,14,1
4702921684,11517465389,2016-04-27 22:17:00,2016-04-28 05:57:00,461,442,18,1
4702921684,11517465390,2016-04-28 22:31:00,2016-04-29 05:57:00,447,433,14,0
4702921684,11521472854,2016-04-29 22:28:00,2016-04-30 06:48:00,501,479,22,0
4702921684,11543748793,2016-05-02 22:51:00,2016-05-03 05:03:00,373,327,40,6
4702921684,11554093366,2016-05-03 22:26:30,2016-05-04 05:39:30,434,412,20,2
4702921684,11562534134,2016-05-04 22:48:00,2016-05-05 05:55:00,428,414,11,3
4702921684,11566566371,2016-05-05 22:35:00,2016-05-06 06:03:00,449,404,39,6
4702921684,11573168523,2016-05-06 21:10:00,2016-05-07 06:12:00,543,520,21,2
4702921684,11588643054,2016-05-08 22:25:30,2016-05-09 06:02:30,458,435,22,1
4702921684,11598134524,2016-05-09 22:54:00,2016-05-10 06:04:00,431,416,15,0
4702921684,11606986410,2016-05-10 22:46:00,2016-05-11 04:51:00,366,354,8,4
4702921684,11615068469,2016-05-11 22:42:00,2016-05-12 06:03:00,442,404,36,2
5553957443,11372227280,2016-04-11 22:20:00,2016-04-12 06:03:00,464,441,20,3
5553957443,11393617328,2016-04-13 00:19:30,2016-04-13 07:22:30,424,397,23,4
5553957443,11393617329,2016-04-13 12:33:30,2016-04-13 13:36:30,64,58,5,1
5553957443,11393617330,2016-04-13 22:41:30,2016-04-14 05:38:30,418,357,58,3
